Potri.001G193800,30,33
Potri.001G149700,5,63
Potri.001G373700,1,NA
Potri.001G271800,3,330
Potri.001G031500,3,9
Potri.001G186300,6,99
Potri.001G242500,2,7
Potri.001G250600,4,152
Potri.001G469500,3,580
Potri.001G319000,1,NA
Potri.001G112000,1,NA
Potri.001G457900,4,112
Potri.001G464800,4,212
Potri.001G119700,1,NA
Potri.001G382600,1,NA
Potri.001G169400,5,12
Potri.001G337400,2,573
Potri.001G289800,8,142
Potri.001G128500,1,NA
Potri.001G298200,4,249
Potri.001G366200,2,65
Potri.001G103000,2,203
Potri.001G016000,5,216
Potri.001G071700,1,NA
Potri.001G117700,2,780
Potri.001G357100,2,123
Potri.001G096600,1,NA
Potri.001G114500,1,NA
Potri.001G229300,4,246
Potri.001G375700,5,209
Potri.001G132500,4,65
Potri.001G392000,1,NA
Potri.001G198400,1,NA
Potri.001G394500,1,NA
Potri.001G299300,1,NA
Potri.001G402200,4,137
Potri.001G256600,2,60
Potri.001G345300,581,18
Potri.001G204500,1,NA
Potri.001G136400,1,NA
Potri.001G225400,5,75
Potri.001G215500,1,NA
Potri.001G235900,2,96
Potri.001G258600,3,643
Potri.001G383800,3,712
Potri.001G182800,10,21
Potri.001G181500,1,NA
Potri.001G185100,1,NA
Potri.001G417900,1,NA
Potri.001G336200,1,NA
Potri.001G107300,10,249
Potri.001G421600,10,121
Potri.001G029300,3,158
Potri.001G322500,1,NA
Potri.001G032400,7,24
Potri.001G315900,2,52
Potri.001G097000,3,90
Potri.001G410600,1,NA
Potri.001G404200,2,121
Potri.001G285100,3,360
Potri.001G393400,2,217
Potri.001G134800,11,72
Potri.001G074600,1,NA
Potri.001G188400,2,51
Potri.001G252100,4,412
Potri.001G111700,1,NA
Potri.001G243300,2,306
Potri.001G160800,3,509
Potri.001G220200,2,115
Potri.001G033100,15,157
Potri.001G368500,2,207
Potri.001G367000,7,162
Potri.001G404600,1,NA
Potri.001G346300,1,NA
Potri.001G089100,5,510
Potri.001G446700,14,20
Potri.001G310600,2,699
Potri.001G068900,1,NA
Potri.001G075800,3,331
Potri.001G424700,1,NA
Potri.001G151700,2,24
Potri.001G389400,2,80
Potri.001G331000,4,46
Potri.001G247200,1,NA
Potri.001G151500,1,NA
Potri.001G455100,4,107
Potri.001G176600,2,891
Potri.001G147700,3,237
Potri.001G154000,2,24
